,group,id,max_depth,n_estimators,Accuracy,Cross,test_train
0,2,100,50,10,0.9730442426018164,"(0.9674016548567994, 0.8540213830007565, 0.9674947682332287, 0.9674016548567994)",0.2-0.8
1,2,100,50,20,0.9835921476706708,"(0.9769981611211931, 0.8218663708781266, 0.9769291284748052, 0.9769981611211931)",0.2-0.8
2,2,100,50,30,0.9844711397597422,"(0.9783167083130466, 0.8228897084098625, 0.9782173288489517, 0.9783167083130466)",0.2-0.8
3,2,100,50,40,0.987987108116027,"(0.980367856237501, 0.9044461863968494, 0.9803976671874158, 0.980367856237501)",0.2-0.8
4,2,100,50,50,0.988866100205098,"(0.9808073362009649, 0.8648281564754718, 0.9807529658367514, 0.9808073362009649)",0.2-0.8
5,2,100,50,60,0.989159097568122,"(0.9824922105844844, 0.8661533028404869, 0.9824095851608119, 0.9824922105844844)",0.2-0.8
6,2,100,50,70,0.9897450922941694,"(0.9829317710240449, 0.9064869354386227, 0.9829084509305434, 0.9829317710240449)",0.2-0.8
7,2,100,50,80,0.9900380896571932,"(0.982931717373314, 0.906451653222771, 0.9829002845962821, 0.982931717373314)",0.2-0.8
8,2,100,50,90,0.989159097568122,"(0.9835910312072891, 0.906950914324414, 0.9835559749328663, 0.9835910312072891)",0.2-0.8
9,2,100,50,100,0.989159097568122,"(0.9832248113170852, 0.8667239075751961, 0.983112410152027, 0.9832248113170852)",0.2-0.8
10,2,100,100,10,0.9730442426018164,"(0.9674016548567994, 0.8540213830007565, 0.9674947682332287, 0.9674016548567994)",0.2-0.8
11,2,100,100,20,0.9835921476706708,"(0.9769981611211931, 0.8218663708781266, 0.9769291284748052, 0.9769981611211931)",0.2-0.8
12,2,100,100,30,0.9844711397597422,"(0.9783167083130466, 0.8228897084098625, 0.9782173288489517, 0.9783167083130466)",0.2-0.8
13,2,100,100,40,0.987987108116027,"(0.980367856237501, 0.9044461863968494, 0.9803976671874158, 0.980367856237501)",0.2-0.8
14,2,100,100,50,0.988866100205098,"(0.9808073362009649, 0.8648281564754718, 0.9807529658367514, 0.9808073362009649)",0.2-0.8
15,2,100,100,60,0.989159097568122,"(0.9824922105844844, 0.8661533028404869, 0.9824095851608119, 0.9824922105844844)",0.2-0.8
16,2,100,100,70,0.9897450922941694,"(0.9829317710240449, 0.9064869354386227, 0.9829084509305434, 0.9829317710240449)",0.2-0.8
17,2,100,100,80,0.9900380896571932,"(0.982931717373314, 0.906451653222771, 0.9829002845962821, 0.982931717373314)",0.2-0.8
18,2,100,100,90,0.989159097568122,"(0.9835910312072891, 0.906950914324414, 0.9835559749328663, 0.9835910312072891)",0.2-0.8
19,2,100,100,100,0.989159097568122,"(0.9832248113170852, 0.8667239075751961, 0.983112410152027, 0.9832248113170852)",0.2-0.8
20,2,100,10,10,0.9170817462642836,"(0.8986885883553771, 0.8020925799124194, 0.9038911568025831, 0.8986885883553771)",0.2-0.8
21,2,100,10,20,0.9217697040726632,"(0.9077719253771981, 0.8100037143710214, 0.9133477602237049, 0.9077719253771981)",0.2-0.8
22,2,100,10,30,0.9305596249633752,"(0.910263036121696, 0.8119726410708236, 0.9161949346794536, 0.910263036121696)",0.2-0.8
