,group,id,max_depth,n_estimators,Accuracy,Cross,test_train
0,2,100,50,10,0.987111892208553,"(0.974279084242375, 0.859690031688688, 0.9742669736922535, 0.974279084242375)",0.1-0.9
1,2,100,50,20,0.9900410076156999,"(0.9824836296198306, 0.8662312029567637, 0.9823357310221231, 0.9824836296198306)",0.1-0.9
2,2,100,50,30,0.9906268306971294,"(0.984762763045425, 0.8680638870752068, 0.9845795132940731, 0.984762763045425)",0.1-0.9
3,2,100,50,40,0.9912126537785588,"(0.9861300141444154, 0.8690340387884655, 0.9859287712589166, 0.9861300141444154)",0.1-0.9
4,2,100,50,50,0.9953134153485648,"(0.9867813526063713, 0.8695427448724672, 0.9865925395528394, 0.9867813526063713)",0.1-0.9
5,2,100,50,60,0.9935559461042766,"(0.9871068734397049, 0.8698675026801304, 0.986913996934406, 0.9871068734397049)",0.1-0.9
6,2,100,50,70,0.9935559461042766,"(0.9878231676706827, 0.8704555809488269, 0.9876201445927307, 0.9878231676706827)",0.1-0.9
7,2,100,50,80,0.9935559461042766,"(0.9878883142366766, 0.8704579848773925, 0.9876883948362192, 0.9878883142366766)",0.1-0.9
8,2,100,50,90,0.9935559461042766,"(0.9874976044380224, 0.8701719159252141, 0.987297540194923, 0.9874976044380224)",0.1-0.9
9,2,100,50,100,0.994141769185706,"(0.9880185437696734, 0.8705616063738285, 0.9878230891687935, 0.9880185437696734)",0.1-0.9
10,2,100,100,10,0.987111892208553,"(0.974279084242375, 0.859690031688688, 0.9742669736922535, 0.974279084242375)",0.1-0.9
11,2,100,100,20,0.9900410076156999,"(0.9824836296198306, 0.8662312029567637, 0.9823357310221231, 0.9824836296198306)",0.1-0.9
12,2,100,100,30,0.9906268306971294,"(0.984762763045425, 0.8680638870752068, 0.9845795132940731, 0.984762763045425)",0.1-0.9
13,2,100,100,40,0.9912126537785588,"(0.9861300141444154, 0.8690340387884655, 0.9859287712589166, 0.9861300141444154)",0.1-0.9
14,2,100,100,50,0.9953134153485648,"(0.9867813526063713, 0.8695427448724672, 0.9865925395528394, 0.9867813526063713)",0.1-0.9
15,2,100,100,60,0.9935559461042766,"(0.9871068734397049, 0.8698675026801304, 0.986913996934406, 0.9871068734397049)",0.1-0.9
16,2,100,100,70,0.9935559461042766,"(0.9878231676706827, 0.8704555809488269, 0.9876201445927307, 0.9878231676706827)",0.1-0.9
17,2,100,100,80,0.9935559461042766,"(0.9878883142366766, 0.8704579848773925, 0.9876883948362192, 0.9878883142366766)",0.1-0.9
18,2,100,100,90,0.9935559461042766,"(0.9874976044380224, 0.8701719159252141, 0.987297540194923, 0.9874976044380224)",0.1-0.9
19,2,100,100,100,0.994141769185706,"(0.9880185437696734, 0.8705616063738285, 0.9878230891687935, 0.9880185437696734)",0.1-0.9
20,2,100,10,10,0.9103690685413004,"(0.8980926450735375, 0.8021285369792504, 0.9048313661984236, 0.8980926450735375)",0.1-0.9
21,2,100,10,20,0.9220855301698888,"(0.907469383445946, 0.8097782286047577, 0.9138570378642864, 0.907469383445946)",0.1-0.9
22,2,100,10,30,0.9250146455770356,"(0.9126785647658201, 0.8139442851645293, 0.9191732022374817, 0.9126785647658201)",0.1-0.9
23,2,100,10,40,0.9261862917398944,"(0.9146319653614459, 0.8154557127654456, 0.9209310073418987, 0.9146319653614459)",0.1-0.9
24,2,100,10,50,0.9297012302284711,"(0.9167154894917507, 0.8170597359041754, 0.9229555773337779, 0.9167154894917507)",0.1-0.9
25,2,100,10,60,0.9297012302284711,"(0.9162596331271031, 0.8433691780338943, 0.9224686194275387, 0.9162596331271031)",0.1-0.9
26,2,100,10,70,0.9314586994727592,"(0.9180177212227287, 0.8445786977904121, 0.9238617825314754, 0.9180177212227287)",0.1-0.9
27,2,100,10,80,0.93087287639133,"(0.9176270538234016, 0.844312846393841, 0.9236100406212957, 0.9176270538234016)",0.1-0.9
28,2,100,10,90,0.9297012302284711,"(0.91827828628704, 0.8447783338323458, 0.9239143780029064, 0.91827828628704)",0.1-0.9
29,2,100,10,100,0.9320445225541888,"(0.9188640541897319, 0.8452300162635955, 0.9244823385159844, 0.9188640541897319)",0.1-0.9
30,2,100,1000,10,0.987111892208553,"(0.974279084242375, 0.859690031688688, 0.9742669736922535, 0.974279084242375)",0.1-0.9
31,2,100,1000,20,0.9900410076156999,"(0.9824836296198306, 0.8662312029567637, 0.9823357310221231, 0.9824836296198306)",0.1-0.9
32,2,100,1000,30,0.9906268306971294,"(0.984762763045425, 0.8680638870752068, 0.9845795132940731, 0.984762763045425)",0.1-0.9
33,2,100,1000,40,0.9912126537785588,"(0.9861300141444154, 0.8690340387884655, 0.9859287712589166, 0.9861300141444154)",0.1-0.9
34,2,100,1000,50,0.9953134153485648,"(0.9867813526063713, 0.8695427448724672, 0.9865925395528394, 0.9867813526063713)",0.1-0.9
35,2,100,1000,60,0.9935559461042766,"(0.9871068734397049, 0.8698675026801304, 0.986913996934406, 0.9871068734397049)",0.1-0.9
36,2,100,1000,70,0.9935559461042766,"(0.9878231676706827, 0.8704555809488269, 0.9876201445927307, 0.9878231676706827)",0.1-0.9
37,2,100,1000,80,0.9935559461042766,"(0.9878883142366766, 0.8704579848773925, 0.9876883948362192, 0.9878883142366766)",0.1-0.9
38,2,100,1000,90,0.9935559461042766,"(0.9874976044380224, 0.8701719159252141, 0.987297540194923, 0.9874976044380224)",0.1-0.9
39,2,100,1000,100,0.994141769185706,"(0.9880185437696734, 0.8705616063738285, 0.9878230891687935, 0.9880185437696734)",0.1-0.9
40,2,100,2000,10,0.987111892208553,"(0.974279084242375, 0.859690031688688, 0.9742669736922535, 0.974279084242375)",0.1-0.9
41,2,100,2000,20,0.9900410076156999,"(0.9824836296198306, 0.8662312029567637, 0.9823357310221231, 0.9824836296198306)",0.1-0.9
