,group,id,max_depth,n_estimators,Accuracy,Cross,test_train
0,2,100,50,10,0.961617345443891,"(0.95292048004702, 0.8422584967128955, 0.9535133814393962, 0.95292048004702)",0.4-0.6
1,2,100,50,20,0.975827717550542,"(0.9628832781204201, 0.8105963241785575, 0.9630092457652962, 0.9628832781204201)",0.4-0.6
2,2,100,50,30,0.9811016700849692,"(0.9664973703895946, 0.8134981312417926, 0.9664777121145753, 0.9664973703895946)",0.4-0.6
3,2,100,50,40,0.9830061529446236,"(0.9693297832956767, 0.8157681525649462, 0.9693020093316292, 0.9693297832956767)",0.4-0.6
4,2,100,50,50,0.9835921476706708,"(0.9703063457956767, 0.8164828043810978, 0.9702008582174659, 0.9703063457956767)",0.4-0.6
5,2,100,50,60,0.9831526516261354,"(0.9708921401746459, 0.8569480929001159, 0.970885186660629, 0.9708921401746459)",0.4-0.6
6,2,100,50,70,0.9828596542631116,"(0.9721621484947484, 0.8579169785109251, 0.972143799454871, 0.9721621484947484)",0.4-0.6
7,2,100,50,80,0.9841781423967184,"(0.9715759247526868, 0.8973713142294846, 0.9715986620545511, 0.9715759247526868)",0.4-0.6
8,2,100,50,90,0.9837386463521828,"(0.9717713326667073, 0.8576677209959627, 0.9717103594692602, 0.9717713326667073)",0.4-0.6
9,2,100,50,100,0.9840316437152066,"(0.9709900349596972, 0.857032060497405, 0.9709442007450481, 0.9709900349596972)",0.4-0.6
10,2,100,100,10,0.961617345443891,"(0.95292048004702, 0.8422584967128955, 0.9535133814393962, 0.95292048004702)",0.4-0.6
11,2,100,100,20,0.975827717550542,"(0.9628832781204201, 0.8105963241785575, 0.9630092457652962, 0.9628832781204201)",0.4-0.6
12,2,100,100,30,0.9811016700849692,"(0.9664973703895946, 0.8134981312417926, 0.9664777121145753, 0.9664973703895946)",0.4-0.6
13,2,100,100,40,0.9830061529446236,"(0.9693297832956767, 0.8157681525649462, 0.9693020093316292, 0.9693297832956767)",0.4-0.6
14,2,100,100,50,0.9835921476706708,"(0.9703063457956767, 0.8164828043810978, 0.9702008582174659, 0.9703063457956767)",0.4-0.6
15,2,100,100,60,0.9831526516261354,"(0.9708921401746459, 0.8569480929001159, 0.970885186660629, 0.9708921401746459)",0.4-0.6
16,2,100,100,70,0.9828596542631116,"(0.9721621484947484, 0.8579169785109251, 0.972143799454871, 0.9721621484947484)",0.4-0.6
