,group,id,max_depth,n_estimators,Accuracy,Cross,test_train
0,2,100,50,10,0.9765423928230016,"(0.9601922212689462, 0.9480257823749199, 0.9604687620831124, 0.9601922212689462)",0.4-0.6
1,2,100,50,20,0.9831972939186704,"(0.9704628654991841, 0.95637525555058, 0.9705987641701274, 0.9704628654991841)",0.4-0.6
2,2,100,50,30,0.9844106184278256,"(0.9734043093276041, 0.9567940993581091, 0.9735095669903273, 0.9734043093276041)",0.4-0.6
3,2,100,50,40,0.985329803662034,"(0.9749485861877536, 0.9584216874470574, 0.9750461038482146, 0.9749485861877536)",0.4-0.6
4,2,100,50,50,0.986212221486874,"(0.9764438464440808, 0.9602304652708303, 0.9765381821967154, 0.9764438464440808)",0.4-0.6
5,2,100,50,60,0.9861754540775056,"(0.9767624768990817, 0.9604346745476071, 0.9768528513219514, 0.9767624768990817)",0.4-0.6
6,2,100,50,70,0.9858077799838224,"(0.9772037224621432, 0.9609400594209326, 0.9772875308707315, 0.9772037224621432)",0.4-0.6
7,2,100,50,80,0.9861754540775056,"(0.9777429832087264, 0.9590977200196434, 0.9778144964364163, 0.9777429832087264)",0.4-0.6
8,2,100,50,90,0.9863225237149792,"(0.9776939666049038, 0.9621140244005775, 0.9777686454058674, 0.9776939666049038)",0.4-0.6
9,2,100,50,100,0.9868005000367674,"(0.9779635954761854, 0.9614245646005732, 0.9780347285724822, 0.9779635954761854)",0.4-0.6
10,2,100,100,10,0.9765423928230016,"(0.9601922212689462, 0.9480257823749199, 0.9604687620831124, 0.9601922212689462)",0.4-0.6
11,2,100,100,20,0.9831972939186704,"(0.9704628654991841, 0.95637525555058, 0.9705987641701274, 0.9704628654991841)",0.4-0.6
12,2,100,100,30,0.9844106184278256,"(0.9734043093276041, 0.9567940993581091, 0.9735095669903273, 0.9734043093276041)",0.4-0.6
13,2,100,100,40,0.985329803662034,"(0.9749485861877536, 0.9584216874470574, 0.9750461038482146, 0.9749485861877536)",0.4-0.6
14,2,100,100,50,0.986212221486874,"(0.9764438464440808, 0.9602304652708303, 0.9765381821967154, 0.9764438464440808)",0.4-0.6
15,2,100,100,60,0.9861754540775056,"(0.9767624768990817, 0.9604346745476071, 0.9768528513219514, 0.9767624768990817)",0.4-0.6
16,2,100,100,70,0.9858077799838224,"(0.9772037224621432, 0.9609400594209326, 0.9772875308707315, 0.9772037224621432)",0.4-0.6
17,2,100,100,80,0.9861754540775056,"(0.9777429832087264, 0.9590977200196434, 0.9778144964364163, 0.9777429832087264)",0.4-0.6
18,2,100,100,90,0.9863225237149792,"(0.9776939666049038, 0.9621140244005775, 0.9777686454058674, 0.9776939666049038)",0.4-0.6
19,2,100,100,100,0.9868005000367674,"(0.9779635954761854, 0.9614245646005732, 0.9780347285724822, 0.9779635954761854)",0.4-0.6
20,2,100,10,10,0.7978160158835208,"(0.8002498984641045, 0.8296450120396424, 0.8015786092752817, 0.8002498984641045)",0.4-0.6
21,2,100,10,20,0.8079270534598132,"(0.8073831736395993, 0.8375273614060248, 0.809227272959706, 0.8073831736395993)",0.4-0.6
22,2,100,10,30,0.8118243988528568,"(0.8057898771716066, 0.8378129035208289, 0.8082678141248504, 0.8057898771716066)",0.4-0.6
23,2,100,10,40,0.8127803514964336,"(0.8089030248084036, 0.8341904526199959, 0.8111548841119325, 0.8089030248084036)",0.4-0.6
24,2,100,10,50,0.8133318626369586,"(0.8106188943281689, 0.8377365916475898, 0.8124991982092205, 0.8106188943281689)",0.4-0.6
25,2,100,10,60,0.8174498124862122,"(0.8110600347505101, 0.8408128138685035, 0.8129115567863201, 0.8110600347505101)",0.4-0.6
26,2,100,10,70,0.8191043459077874,"(0.812089596716245, 0.8433089562108925, 0.8139233922867042, 0.812089596716245)",0.4-0.6
27,2,100,10,80,0.8177807191705272,"(0.8130700699816634, 0.8433644904959305, 0.8148975487702407, 0.8130700699816634)",0.4-0.6
28,2,100,10,90,0.8202073681888374,"(0.8141976261027761, 0.8450495953409993, 0.8160312559042404, 0.8141976261027761)",0.4-0.6
29,2,100,10,100,0.8205750422825208,"(0.8138054482118868, 0.8448246778199199, 0.8157706170100394, 0.8138054482118868)",0.4-0.6
