,group,id,max_depth,n_estimators,Accuracy,Cross,test_train
0,2,100,50,10,0.9798519535271336,"(0.9692194558251919, 0.9557968095057465, 0.9694139560695934, 0.9692194558251919)",0.3-0.7
1,2,100,50,20,0.9859306828766116,"(0.9770984347095283, 0.9602549642220877, 0.9771828174049946, 0.9770984347095283)",0.3-0.7
2,2,100,50,30,0.9880386293445758,"(0.9794936442903666, 0.9645042763752428, 0.9795513991208884, 0.9794936442903666)",0.3-0.7
3,2,100,50,40,0.9887739595078191,"(0.9804811429772036, 0.9643633080137265, 0.9805222390119439, 0.9804811429772036)",0.3-0.7
4,2,100,50,50,0.9889700475513504,"(0.9816787477676228, 0.9692798365953225, 0.9817269492554734, 0.9816787477676228)",0.3-0.7
5,2,100,50,60,0.9897543997254769,"(0.9815736947158316, 0.9671851131671542, 0.981632742617992, 0.9815736947158316)",0.3-0.7
6,2,100,50,70,0.9901955978234228,"(0.9823300766887278, 0.9678289148221605, 0.9823818031104249, 0.9823300766887278)",0.3-0.7
7,2,100,50,80,0.9899014657581254,"(0.9823931085198024, 0.9670832013146246, 0.982446210827721, 0.9823931085198024)",0.3-0.7
8,2,100,50,90,0.9899014657581254,"(0.9826032146233847, 0.9680119574236494, 0.9826518417369906, 0.9826032146233847)",0.3-0.7
9,2,100,50,100,0.9898034217363596,"(0.9832125223237735, 0.9690534338111612, 0.983257032584652, 0.9832125223237735)",0.3-0.7
10,2,100,100,10,0.9798519535271336,"(0.9692194558251919, 0.9557968095057465, 0.9694139560695934, 0.9692194558251919)",0.3-0.7
11,2,100,100,20,0.9859306828766116,"(0.9770984347095283, 0.9602549642220877, 0.9771828174049946, 0.9770984347095283)",0.3-0.7
12,2,100,100,30,0.9880386293445758,"(0.9794936442903666, 0.9645042763752428, 0.9795513991208884, 0.9794936442903666)",0.3-0.7
13,2,100,100,40,0.9887739595078191,"(0.9804811429772036, 0.9643633080137265, 0.9805222390119439, 0.9804811429772036)",0.3-0.7
14,2,100,100,50,0.9889700475513504,"(0.9816787477676228, 0.9692798365953225, 0.9817269492554734, 0.9816787477676228)",0.3-0.7
15,2,100,100,60,0.9897543997254769,"(0.9815736947158316, 0.9671851131671542, 0.981632742617992, 0.9815736947158316)",0.3-0.7
16,2,100,100,70,0.9901955978234228,"(0.9823300766887278, 0.9678289148221605, 0.9823818031104249, 0.9823300766887278)",0.3-0.7
17,2,100,100,80,0.9899014657581254,"(0.9823931085198024, 0.9670832013146246, 0.982446210827721, 0.9823931085198024)",0.3-0.7
18,2,100,100,90,0.9899014657581254,"(0.9826032146233847, 0.9680119574236494, 0.9826518417369906, 0.9826032146233847)",0.3-0.7
19,2,100,100,100,0.9898034217363596,"(0.9832125223237735, 0.9690534338111612, 0.983257032584652, 0.9832125223237735)",0.3-0.7
20,2,100,10,10,0.8076866513064366,"(0.7995587771824771, 0.8269471176345157, 0.8006336984615039, 0.7995587771824771)",0.3-0.7
21,2,100,10,20,0.8147948428844551,"(0.8073537136253808, 0.8350925586173737, 0.8090244246188105, 0.8073537136253808)",0.3-0.7
22,2,100,10,30,0.8138634246776802,"(0.8094757852715622, 0.8403073610609347, 0.8110387611449206, 0.8094757852715622)",0.3-0.7
23,2,100,10,40,0.8199421540271582,"(0.811723920579893, 0.841077468100754, 0.8133631364151965, 0.811723920579893)",0.3-0.7
24,2,100,10,50,0.8188146477768518,"(0.8135938649017753, 0.8432480867104438, 0.8151346364533735, 0.8135938649017753)",0.3-0.7
25,2,100,10,60,0.8206284621795186,"(0.8146654060300452, 0.8441360226722399, 0.8161989331154229, 0.8146654060300452)",0.3-0.7
26,2,100,10,70,0.82048139614687,"(0.8154638092236579, 0.8462867837020749, 0.8168875577077411, 0.8154638092236579)",0.3-0.7
27,2,100,10,80,0.8183244276680229,"(0.8151906712890009, 0.8454032000173506, 0.8165258827166367, 0.8151906712890009)",0.3-0.7
28,2,100,10,90,0.8211186822883475,"(0.8155058304443743, 0.8455327061090452, 0.8168986568769793, 0.8155058304443743)",0.3-0.7
29,2,100,10,100,0.8236678268542575,"(0.8160941275344049, 0.846166957197687, 0.817472213369302, 0.8160941275344049)",0.3-0.7
30,2,100,1000,10,0.9798519535271336,"(0.9692194558251919, 0.9557968095057465, 0.9694139560695934, 0.9692194558251919)",0.3-0.7
31,2,100,1000,20,0.9859306828766116,"(0.9770984347095283, 0.9602549642220877, 0.9771828174049946, 0.9770984347095283)",0.3-0.7
32,2,100,1000,30,0.9880386293445758,"(0.9794936442903666, 0.9645042763752428, 0.9795513991208884, 0.9794936442903666)",0.3-0.7
33,2,100,1000,40,0.9887739595078191,"(0.9804811429772036, 0.9643633080137265, 0.9805222390119439, 0.9804811429772036)",0.3-0.7
34,2,100,1000,50,0.9889700475513504,"(0.9816787477676228, 0.9692798365953225, 0.9817269492554734, 0.9816787477676228)",0.3-0.7
35,2,100,1000,60,0.9897543997254769,"(0.9815736947158316, 0.9671851131671542, 0.981632742617992, 0.9815736947158316)",0.3-0.7
36,2,100,1000,70,0.9901955978234228,"(0.9823300766887278, 0.9678289148221605, 0.9823818031104249, 0.9823300766887278)",0.3-0.7
37,2,100,1000,80,0.9899014657581254,"(0.9823931085198024, 0.9670832013146246, 0.982446210827721, 0.9823931085198024)",0.3-0.7
38,2,100,1000,90,0.9899014657581254,"(0.9826032146233847, 0.9680119574236494, 0.9826518417369906, 0.9826032146233847)",0.3-0.7
39,2,100,1000,100,0.9898034217363596,"(0.9832125223237735, 0.9690534338111612, 0.983257032584652, 0.9832125223237735)",0.3-0.7
40,2,100,2000,10,0.9798519535271336,"(0.9692194558251919, 0.9557968095057465, 0.9694139560695934, 0.9692194558251919)",0.3-0.7
41,2,100,2000,20,0.9859306828766116,"(0.9770984347095283, 0.9602549642220877, 0.9771828174049946, 0.9770984347095283)",0.3-0.7
42,2,100,2000,30,0.9880386293445758,"(0.9794936442903666, 0.9645042763752428, 0.9795513991208884, 0.9794936442903666)",0.3-0.7
