,group,id,max_depth,n_estimators,Accuracy,Cross,test_train
0,2,100,50,10,0.981836899772042,"(0.975512455188896, 0.9619653827242104, 0.975621925077899, 0.975512455188896)",0.2-0.8
1,2,100,50,20,0.9886756379145524,"(0.9831786009743542, 0.9707418307418013, 0.9832242687404584, 0.9831786009743542)",0.2-0.8
2,2,100,50,30,0.9907346128391792,"(0.9852559977939149, 0.972229753609894, 0.9852947073838927, 0.9852559977939149)",0.2-0.8
3,2,100,50,40,0.991911169938966,"(0.9864877286515303, 0.9755086287172577, 0.9865220602694414, 0.9864877286515303)",0.2-0.8
4,2,100,50,50,0.9919847047577028,"(0.986892177589852, 0.9760133996025274, 0.9869231765560522, 0.986892177589852)",0.2-0.8
5,2,100,50,60,0.9923523788513862,"(0.9874620829120324, 0.9764504354730743, 0.9874940889668933, 0.9874620829120324)",0.2-0.8
6,2,100,50,70,0.9927200529450696,"(0.9876826914238441, 0.9765331329608152, 0.9877107219926893, 0.9876826914238441)",0.2-0.8
7,2,100,50,80,0.9928671225825428,"(0.9874069307840795, 0.976411010975952, 0.9874354201588658, 0.9874069307840795)",0.2-0.8
8,2,100,50,90,0.9928671225825428,"(0.9875356190826363, 0.9764605910985396, 0.9875627546518689, 0.9875356190826363)",0.2-0.8
9,2,100,50,100,0.992572983307596,"(0.98779299567975, 0.9788837815141556, 0.9878218505125819, 0.98779299567975)",0.2-0.8
10,2,100,100,10,0.981836899772042,"(0.975512455188896, 0.9619653827242104, 0.975621925077899, 0.975512455188896)",0.2-0.8
11,2,100,100,20,0.9886756379145524,"(0.9831786009743542, 0.9707418307418013, 0.9832242687404584, 0.9831786009743542)",0.2-0.8
12,2,100,100,30,0.9907346128391792,"(0.9852559977939149, 0.972229753609894, 0.9852947073838927, 0.9852559977939149)",0.2-0.8
13,2,100,100,40,0.991911169938966,"(0.9864877286515303, 0.9755086287172577, 0.9865220602694414, 0.9864877286515303)",0.2-0.8
14,2,100,100,50,0.9919847047577028,"(0.986892177589852, 0.9760133996025274, 0.9869231765560522, 0.986892177589852)",0.2-0.8
15,2,100,100,60,0.9923523788513862,"(0.9874620829120324, 0.9764504354730743, 0.9874940889668933, 0.9874620829120324)",0.2-0.8
16,2,100,100,70,0.9927200529450696,"(0.9876826914238441, 0.9765331329608152, 0.9877107219926893, 0.9876826914238441)",0.2-0.8
17,2,100,100,80,0.9928671225825428,"(0.9874069307840795, 0.976411010975952, 0.9874354201588658, 0.9874069307840795)",0.2-0.8
18,2,100,100,90,0.9928671225825428,"(0.9875356190826363, 0.9764605910985396, 0.9875627546518689, 0.9875356190826363)",0.2-0.8
19,2,100,100,100,0.992572983307596,"(0.98779299567975, 0.9788837815141556, 0.9878218505125819, 0.98779299567975)",0.2-0.8
20,2,100,10,10,0.8018236635046695,"(0.8013052670282195, 0.8317990840228544, 0.8038589470245181, 0.8013052670282195)",0.2-0.8
21,2,100,10,20,0.8130744907713803,"(0.8088611085577719, 0.8392082630386783, 0.8104206357381045, 0.8088611085577719)",0.2-0.8
22,2,100,10,30,0.814912861239797,"(0.8120599319790422, 0.8443063986586952, 0.813756675634289, 0.8120599319790422)",0.2-0.8
23,2,100,10,40,0.814912861239797,"(0.8120599319790422, 0.8471063784229281, 0.8140378043307489, 0.8120599319790422)",0.2-0.8
24,2,100,10,50,0.8174865798955806,"(0.8140270245426968, 0.847846875882477, 0.8160170923858786, 0.8140270245426968)",0.2-0.8
25,2,100,10,60,0.8161629531583204,"(0.8156448202959832, 0.8504991659922945, 0.8176015995650292, 0.8156448202959832)",0.2-0.8
26,2,100,10,70,0.8188102066328407,"(0.8160492692343044, 0.8516258287502714, 0.817832831269857, 0.8160492692343044)",0.2-0.8
27,2,100,10,80,0.8207221119199941,"(0.8161044213622576, 0.8516759644767333, 0.8179680778390029, 0.8161044213622576)",0.2-0.8
28,2,100,10,90,0.8205750422825208,"(0.8169868554095047, 0.8529513171153831, 0.8185947990859683, 0.8169868554095047)",0.2-0.8
29,2,100,10,100,0.8205750422825208,"(0.8171155437080614, 0.8529660505418694, 0.818750368873831, 0.8171155437080614)",0.2-0.8
30,2,100,1000,10,0.981836899772042,"(0.975512455188896, 0.9619653827242104, 0.975621925077899, 0.975512455188896)",0.2-0.8
31,2,100,1000,20,0.9886756379145524,"(0.9831786009743542, 0.9707418307418013, 0.9832242687404584, 0.9831786009743542)",0.2-0.8
32,2,100,1000,30,0.9907346128391792,"(0.9852559977939149, 0.972229753609894, 0.9852947073838927, 0.9852559977939149)",0.2-0.8
33,2,100,1000,40,0.991911169938966,"(0.9864877286515303, 0.9755086287172577, 0.9865220602694414, 0.9864877286515303)",0.2-0.8
34,2,100,1000,50,0.9919847047577028,"(0.986892177589852, 0.9760133996025274, 0.9869231765560522, 0.986892177589852)",0.2-0.8
35,2,100,1000,60,0.9923523788513862,"(0.9874620829120324, 0.9764504354730743, 0.9874940889668933, 0.9874620829120324)",0.2-0.8
36,2,100,1000,70,0.9927200529450696,"(0.9876826914238441, 0.9765331329608152, 0.9877107219926893, 0.9876826914238441)",0.2-0.8
37,2,100,1000,80,0.9928671225825428,"(0.9874069307840795, 0.976411010975952, 0.9874354201588658, 0.9874069307840795)",0.2-0.8
38,2,100,1000,90,0.9928671225825428,"(0.9875356190826363, 0.9764605910985396, 0.9875627546518689, 0.9875356190826363)",0.2-0.8
39,2,100,1000,100,0.992572983307596,"(0.98779299567975, 0.9788837815141556, 0.9878218505125819, 0.98779299567975)",0.2-0.8
40,2,100,2000,10,0.981836899772042,"(0.975512455188896, 0.9619653827242104, 0.975621925077899, 0.975512455188896)",0.2-0.8
41,2,100,2000,20,0.9886756379145524,"(0.9831786009743542, 0.9707418307418013, 0.9832242687404584, 0.9831786009743542)",0.2-0.8
42,2,100,2000,30,0.9907346128391792,"(0.9852559977939149, 0.972229753609894, 0.9852947073838927, 0.9852559977939149)",0.2-0.8
43,2,100,2000,40,0.991911169938966,"(0.9864877286515303, 0.9755086287172577, 0.9865220602694414, 0.9864877286515303)",0.2-0.8
44,2,100,2000,50,0.9919847047577028,"(0.986892177589852, 0.9760133996025274, 0.9869231765560522, 0.986892177589852)",0.2-0.8
45,2,100,2000,60,0.9923523788513862,"(0.9874620829120324, 0.9764504354730743, 0.9874940889668933, 0.9874620829120324)",0.2-0.8
46,2,100,2000,70,0.9927200529450696,"(0.9876826914238441, 0.9765331329608152, 0.9877107219926893, 0.9876826914238441)",0.2-0.8
47,2,100,2000,80,0.9928671225825428,"(0.9874069307840795, 0.976411010975952, 0.9874354201588658, 0.9874069307840795)",0.2-0.8
48,2,100,2000,90,0.9928671225825428,"(0.9875356190826363, 0.9764605910985396, 0.9875627546518689, 0.9875356190826363)",0.2-0.8
49,2,100,2000,100,0.992572983307596,"(0.98779299567975, 0.9788837815141556, 0.9878218505125819, 0.98779299567975)",0.2-0.8
50,2,101,50,10,0.9017574821678064,"(0.8762202408309587, 0.8630436391884387, 0.8784506552555502, 0.8762202408309587)",0.2-0.8
51,2,101,50,20,0.923817927788808,"(0.9037043845941722, 0.8773198272306395, 0.9049388331031546, 0.9037043845941722)",0.2-0.8
