id,Exp,Site,Hole,Core,Type,Sect,Offset,value_1_gra,value_1_mad,value_2_mad,value_3_mad,value_4_mad,value_5_mad,value_6_mad,value_1_ms,value_1_ngr,value_1_pwl,value_1_rgb,value_2_rgb,value_3_rgb,value_1_rsc,value_2_rsc,value_3_rsc,lithology,cod_lit
195,362,u1480,e,1,h,2,93.68,1521.22,129.61,56.52,1403.21,609.56,2706.8,77.44,22.31,36227.46,1476.75,76.9,64.8,47.1,50.64,3.82,11.83,Calcareous-clay_claystone,3
196,362,u1480,e,1,h,2,94.68,1586.88,129.51,56.5,1403.32,609.87,2705.96,77.43,21.52,36782.21,1476.7,76.3,64.3,46.9,50.64,3.8,11.91,Calcareous-clay_claystone,3
197,362,u1480,e,1,h,2,95.0,1580.85,129.4,56.49,1403.43,610.18,2705.14,77.41,20.72,37320.71,1476.8,77.13,65.05,47.59,50.79,3.76,11.76,Calcareous-clay_claystone,3
198,362,u1480,e,1,h,2,95.6,1441.0,129.3,56.47,1403.55,610.5,2704.33,77.39,20.0,37836.37,1477.0,78.31,66.11,48.42,51.11,3.71,11.33,Calcareous-clay_claystone,3
199,362,u1480,e,1,h,2,95.68,1132.74,129.19,56.45,1403.67,610.83,2703.54,77.37,19.42,38322.58,1477.26,77.8,65.7,48.1,51.47,3.66,10.75,Calcareous-clay_claystone,3
200,362,u1480,e,1,h,2,96.68,731.6,129.08,56.43,1403.8,611.17,2702.76,77.35,18.97,38772.77,1477.59,75.1,63.4,46.4,51.71,3.62,10.19,Calcareous-clay_claystone,3
201,362,u1480,e,1,h,2,97.5,340.63,128.97,56.41,1403.94,611.51,2702.0,77.34,18.6,39180.33,1477.98,74.29,62.75,46.11,51.67,3.61,9.84,Calcareous-clay_claystone,3
202,362,u1480,e,1,h,2,97.68,62.9,128.86,56.39,1404.09,611.87,2701.26,77.32,18.3,39538.67,1478.45,74.6,63.0,46.5,51.26,3.64,9.8,Calcareous-clay_claystone,3
203,362,u1480,e,1,h,2,98.1,1.46,128.75,56.37,1404.24,612.23,2700.52,77.3,18.0,39841.2,1479.0,73.99,62.3,46.01,50.64,3.7,9.97,Calcareous-clay_claystone,3
204,362,u1480,e,1,h,2,98.68,220.1,128.64,56.35,1404.4,612.6,2699.81,77.28,17.69,40081.33,1479.62,71.6,60.1,44.4,50.06,3.78,10.17,Calcareous-clay_claystone,3
205,362,u1480,e,1,h,2,99.68,625.48,128.52,56.33,1404.56,612.97,2699.1,77.26,17.4,40252.46,1480.23,68.1,57.1,42.3,49.76,3.87,10.22,Calcareous-clay_claystone,3
206,362,u1480,e,1,h,2,100.0,1084.98,128.41,56.31,1404.73,613.36,2698.41,77.24,17.16,40348.0,1480.72,67.45,56.55,41.83,49.97,3.95,9.94,Calcareous-clay_claystone,3
207,362,u1480,e,1,h,2,100.6,1466.0,128.29,56.29,1404.91,613.75,2697.74,77.22,17.0,40363.44,1481.0,68.64,57.54,42.4,50.8,4.02,9.24,Calcareous-clay_claystone,3
208,362,u1480,e,1,h,2,100.68,1667.19,128.17,56.27,1405.09,614.15,2697.08,77.2,16.95,40302.66,1480.99,69.1,57.9,42.6,51.8,4.07,8.3,Calcareous-clay_claystone,3
209,362,u1480,e,1,h,2,101.68,1712.34,128.06,56.25,1405.28,614.56,2696.43,77.18,16.97,40171.58,1480.78,67.5,56.5,41.7,52.41,4.1,7.37,Calcareous-clay_claystone,3
210,362,u1480,e,1,h,2,102.5,1656.48,127.94,56.23,1405.48,614.97,2695.8,77.17,17.02,39976.18,1480.47,66.46,55.58,41.13,52.05,4.09,6.73,Calcareous-clay_claystone,3
